FID,dissolve,scalerank,featurecla,name,name_alt,rivernum,note
470,311River,6,River,Kapuas, ,311, 
1434,2012River,10,River,Karamea, ,2012, 
1069,733River,8,River,Karkheh, ,733, 
1171,81River,3,River,Kasai, ,81, 
1143,797River,8,River,Kaskaskia, ,797, 
471,312River,6,River,Katherine, ,312, 
729,497River,7,River,Katun, ,497, 
1395,2013River,6,River,Kawarau, ,2013, 
318,215River,6,River,Kayan, ,215, 
926,656River,8,River,Kazan, ,656, 
20,1012River,9,River,Keele, ,1012, 
78,1060River,9,River,Kelkit, ,1060,Version 1.2 edit in N. America and Europe
311,207River,6,River,Kem, ,207, 
408,268River,6,River,Kemijoki, ,268, 
152,1122River,9,River,Kennebec, ,1122, 
1141,795River,8,River,Kentucky, ,795, 
534,368River,6,River,Khatanga, ,368, 
507,343River,6,River,Kheta, ,343, 
697,469River,7,River,Khopr, ,469, 
1146,79River,3,River,Kibali, ,79, 
712,481River,7,River,Kiz?lirmak, ,481, 
267,172River,5,River,Klamath, ,172, 
972,677River,8,River,Klarlven, ,677, 
1097,757River,8,River,Kobuk, ,757, 
527,361River,6,River,Kokemenjoki, ,361, 
863,614River,7,River,Koksoak, ,614, 
1377,996River,9,River,Kola, ,996, 
1338,969River,8,River,Kolidam, ,969, 
197,124River,4,River,Kolyma, ,124, 
1302,935River,8,River,Komadugu Yobe, ,935, 
554,381River,7,River,Komo?, ,381, 
1124,780River,8,River,Kondoma, ,780, 
776,537River,7,River,Kong, ,537, 
512,348River,6,River,Konqi, ,348, 
719,488River,7,River,Kotto, ,488, 
725,493River,7,River,Kotuy, ,493, 
1322,954River,8,River,Kouilou, ,954, 
330,224River,6,River,Koukourou, ,224, 
355,240River,6,River,Koyukuk, ,240, 
1086,747River,8,River,Kr, ,747, 
429,279River,6,River,Krishna, ,279, 
682,455River,7,River,Krong, ,455, 
798,557River,7,River,Kuban, ,557,Version 1.2 edit in N. America and Europe
1203,849River,8,River,Kukhtuy, ,849, 
1316,949River,8,River,Kureyka, ,949, 
348,234River,6,River,Kuskokwim, ,234, 
433,282River,6,River,Kwango, ,282, 
1187,834River,8,River,Kwilu, ,834, 
207,133River,4,River,Kyzyl-Khem, ,133, 
703,474River,7,River,L?rio, ,474, 
124,109River,4,River,La Grande,La Grande Rivi?re,109, 
706,476River,7,River,Lachlan, ,476, 
611,40River,2,River,Lancang (Mekong), ,40, 
217,142River,4,River,Lek, ,142, 
570,390River,7,River,Lempa, ,390, 
203,12River,1,River,Lena, ,12, 
938,661River,8,River,Lerma, ,661, 
363,246River,6,River,Liao, ,246, 
432,281River,6,River,Liard, ,281, 
59,1046River,9,River,Licungo, ,1046, 
1346,977River,9,River,Ligonha, ,977, 
902,645River,8,River,Limay, ,645, 
498,336River,6,River,Limpopo, ,336, 
854,606River,7,River,Linyanti, ,606, 
752,516River,7,River,Litani, ,516, 
1298,932River,8,River,Liu, ,932, 
1184,831River,8,River,Lobaye, ,831, 
832,588River,7,River,Logone, ,588, 
1392,178River,5,River,Loire, ,178,Changed in 2.0
948,666River,8,River,Lokoro, ,666, 
448,295River,6,River,Lom, ,295, 
736,501River,7,River,Lomami, ,501, 
644,425River,7,River,Lotta, ,425,Version 1.2 edit in N. America and Europe
280,181River,5,River,Lower  Tunguska (Nizhnyaya Tunguska), ,181, 
