reviewer,title,paper_id,inclusion_IAM,extent,location,biome,concerns,notes1,notes2,projected,observed,new_data,huc6,discipline,topic
pe,rethinking the longitudinal stream temperature paradigm: region-wide comparison of thermal infrared imagery reveals unexpected complexity of river temperatures,363,impacts,pacific northwest,this study includes a case study map with more than 5 study locations over large extent,freshwater: streams and rivers,NA,NA,NA,no,no,yes,"0200, 0601, 0701, 0702, 0703, 0800, 0900, 1002",hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quality, water quantity, aquatic habitat, management"
mf,production and nutrient content of two shrub species related to fire in central idaho,364,impacts,100 - 1500 km2,"big creek idaho, 45.1271463,-115.3330342",forest: temperate,NA,NA,NA,no,no,yes,0602,ecology,"wildfire, timber production/silviculture, forest ecology, soils, biogeochemistry"
cc,production and nutrient content of two shrub species related to fire in central idaho,364,impacts,100 - 1500 km2,"big creek idaho, 45.1271463,-115.3330342",forest: temperate,NA,NA,NA,no,no,yes,0602,ecology,"wildfire, timber production/silviculture, forest ecology, soils, biogeochemistry"
am,multi-scale environmental filters and niche partitioning govern the distributions of riparian vegetation guilds,365,impacts,pacific northwest,na/not appropriate for point data,freshwater: streams and rivers,NA,NA,NA,no,no,yes,"0200, 0101, 0102, 0103, 0603, 0601, 0602, 0502, 0501, 0401, 0402, 0601, 0701, 0502, 0702, 0501, 0200, 0703, 0800, 0900, 1002",ecology,"temperature, precipitation, river geomorphology and restoration, aquatic habitat, forest ecology, timber production/silviculture"
cc,multi-scale environmental filters and niche partitioning govern the distributions of riparian vegetation guilds,365,impacts,pacific northwest,na/not appropriate for point data,freshwater: streams and rivers,NA,NA,NA,no,no,yes,"0200, 0101, 0102, 0103, 0603, 0601, 0602, 0502, 0501, 0401, 0402, 0601, 0701, 0502, 0702, 0501, 0200, 0703, 0800, 0900, 1002",ecology,"temperature, precipitation, river geomorphology and restoration, aquatic habitat, forest ecology, timber production/silviculture"
am,"adapting transportation to climate change on federal lands in washington state, usa",367,adaptation,40000 km2 - PNW,na/not appropriate for point data,forest: temperate,NA,NA,NA,yes,no,yes,"0200, 0300, 0701",policy or management,"temperature, precipitation, pests and disease, wildfire, timber production/silviculture, forest ecology, community resilience, management"
sh,"adapting transportation to climate change on federal lands in washington state, usa",367,adaptation,40000 km2 - PNW,na/not appropriate for point data,forest: temperate,NA,NA,NA,yes,no,yes,"0200, 0300, 0701",policy or management,"temperature, precipitation, pests and disease, wildfire, timber production/silviculture, forest ecology, community resilience, management"
pe,elevation-dependent responses of streamflow to climate warming,368,impacts,25000 - 40000 km2,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,"we expect that streamflow
records from mainstem channels limit our ability to (1)
isolate and map the diversity of precipitation and streamflow
conditions that exist within mountain watersheds, (2) clearly
understand how precipitation phase influences local
streamflow characteristics; and (3) make accurate predictions
of how changes in the snowline elevation will affect
streamflow patterns and water resource availability in
different elevation zones in mountainous topography.",no,no,no,0602,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, management"
am,elevation-dependent responses of streamflow to climate warming,368,impacts,25000 - 40000 km2,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,no,no,0602,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, management"
am,validation and sensitivity test of the distributed hydrology soil-vegetation model (dhsvm) in a forested mountain watershed,371,impacts,1 - 100 km2,"mica creek experimental watershed; 47.155168,-116.278098",forest: temperate,climate change connection is pretty weak.,NA,NA,no,no,no,0103,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils, mathematics"
cc,validation and sensitivity test of the distributed hydrology soil-vegetation model (dhsvm) in a forested mountain watershed,371,impacts,1 - 100 km2,"mica creek experimental watershed; 47.155168,-116.278098",forest: temperate,NA,NA,NA,no,no,no,0103,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils, mathematics"
sh,sensitivity of snowpack storage to precipitation andtemperature using spatial and temporal analog models,372,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscillations"
am,sensitivity of snowpack storage to precipitation andtemperature using spatial and temporal analog models,372,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscillations"
am,early indicators of change: divergent climate envelopes between tree life stages imply range shifts in the western united states,374,impacts,western us,na/not appropriate for point data,forest: temperate,NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002",ecology,"temperature, precipitation, species range shifts, timber production/silviculture, forest ecology"
mf,early indicators of change: divergent climate envelopes between tree life stages imply range shifts in the western united states,374,impacts,western us,na/not appropriate for point data,forest: temperate,NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002",forestry,"temperature, precipitation, species range shifts, timber production/silviculture, forest ecology"
mf,a 100-year conservation experiment: impacts on forest carbon stocks and fluxes,375,mitigation,25000 - 40000 km2,"glacier national park of canda; 51.335289,-117.5319482; yoho national park; 51.4666667,-116.585522; kootenay national park; 50.9769367,-115.9613989;",forest: temperate,NA,NA,NA,no,no,no,"kooteney, columbia","forestry, ecology","wildfire, timber production/silviculture, forest ecology, management, carbon cycle, carbon cycle"
am,a 100-year conservation experiment: impacts on forest carbon stocks and fluxes,375,mitigation,25000 - 40000 km2,"glacier national park of canda; 51.335289,-117.5319482; yoho national park; 51.4666667,-116.585522; kootenay national park; 50.9769367,-115.9613989;",forest: temperate,NA,NA,NA,no,no,no,"kooteney, columbia","forestry, ecology","wildfire, timber production/silviculture, forest ecology, management, carbon cycle, carbon cycle"
am,"tree growth and climate in the pacific northwest, north america: a broad-scale analysis of changing growth environments",376,impacts,40000 km2 - PNW,na/not appropriate for point data,forest: temperate,NA,NA,NA,yes,no,no,"0102, 0103, 0200, 0300, 0601, 0701, 0800, 0601, 0701, 0502, 0702, 0501, 0200, 0703, 0800, 0900, 1002",ecology,"temperature, precipitation, forest ecology, dendrochronology, species range shifts"
cc,"tree growth and climate in the pacific northwest, north america: a broad-scale analysis of changing growth environments",376,impacts,40000 km2 - PNW,na/not appropriate for point data,forest: temperate,NA,NA,NA,yes,no,no,"0102, 0103, 0200, 0300, 0601, 0701, 0800, 0601, 0701, 0502, 0702, 0501, 0200, 0703, 0800, 0900, 1002",ecology,"temperature, precipitation, forest ecology, dendrochronology, species range shifts"
am,"impacts of dams on flow regimes in three headwater subbasins of the columbia river basin, united states",379,impacts,40000 km2 - PNW,"payette river; 44.0787971,-115.6394286; columbia falls; 48.371128,-114.2093926",n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,yes,no,"0102, 0501","hydrology, policy or management","temperature, precipitation, streamflow/stream forecasting, management"
mf,"impacts of dams on flow regimes in three headwater subbasins of the columbia river basin, united states",379,impacts,40000 km2 - PNW,"payette river; 44.0787971,-115.6394286; columbia falls; 48.371128,-114.2093926",n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,yes,no,"0102, 0501","hydrology, policy or management","temperature, precipitation, streamflow/stream forecasting, management"
am,"factors influencing legacy pollutant accumulation in alpine osprey: biology, topography, or melting glaciers?",380,impacts,pacific northwest,na/not appropriate for point data,alpine/tundra,NA,NA,NA,no,no,yes,"kooteney, okanagan, columbia","environmental chemistry and toxicology, ecology","temperature, precipitation, species range shifts, snow, glaciers, lacustrine systems, terrestrial wildlife, pollutants"
mf,"factors influencing legacy pollutant accumulation in alpine osprey: biology, topography, or melting glaciers?",380,impacts,pacific northwest,na/not appropriate for point data,alpine/tundra,NA,NA,NA,no,no,yes,"kooteney, okanagan, columbia","environmental chemistry and toxicology, ecology","temperature, precipitation, species range shifts, snow, glaciers, lacustrine systems, terrestrial wildlife, pollutants"
am,modeling lodgepole and jack pine vulnerability to mountain pine beetle expansion into the western canadian boreal forest,382,impacts,pacific northwest,na/not appropriate for point data,forest: temperate,NA,NA,NA,yes,yes,no,"kooteney, okanagan, columbia",ecology,"temperature, precipitation, pests and disease, wildfire, forest ecology, dendrochronology, species range shifts"
sh,modeling lodgepole and jack pine vulnerability to mountain pine beetle expansion into the western canadian boreal forest,382,impacts,pacific northwest,na/not appropriate for point data,forest: temperate,NA,NA,NA,yes,yes,no,"kooteney, okanagan, columbia",ecology,"temperature, precipitation, pests and disease, wildfire, forest ecology, dendrochronology, species range shifts"
am,a grid-based approach for simulating stream temperature,383,impacts,25000 - 40000 km2,na/not appropriate for point data,freshwater: streams and rivers,NA,NA,NA,no,no,no,0602,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quality, water quantity, soils, management"
pe,a grid-based approach for simulating stream temperature,383,impacts,25000 - 40000 km2,na/not appropriate for point data,freshwater: streams and rivers,NA,NA,NA,no,no,no,0602,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, water quality, water quantity, soils, management"
am,survival and population size of a resident bird species are declining as temperature increases,384,impacts,1 - 100 km2,"south hills twin falls idaho, 42.5526152,-114.4847676",forest: temperate,had to estimate location; no map,NA,NA,no,yes,yes,0402,"biology, ecology","temperature, precipitation, terrestrial wildlife, pests and disease, forest ecology, species range shifts"
mf,survival and population size of a resident bird species are declining as temperature increases,384,impacts,1 - 100 km2,"south hills twin falls idaho, 42.5526152,-114.4847676",forest: temperate,NA,NA,NA,no,yes,yes,0402,"biology, ecology","temperature, precipitation, terrestrial wildlife, pests and disease, forest ecology, species range shifts"
am,climate change could alter the distribution of mountain pine beetle outbreaks in western canada,385,impacts,pacific northwest,this study includes a case study map with more than 5 study locations over large extent,forest: temperate,NA,NA,NA,yes,no,no,"kooteney, okanagan, columbia",ecology,"temperature, precipitation, pests and disease, species range shifts, forest ecology"
mf,climate change could alter the distribution of mountain pine beetle outbreaks in western canada,385,impacts,pacific northwest,this study includes a case study map with more than 5 study locations over large extent,forest: temperate,NA,NA,NA,yes,no,no,"kooteney, okanagan, columbia",ecology,"temperature, precipitation, pests and disease, species range shifts, forest ecology"
mf,enhanced sediment delivery in a changing climate in semi-arid mountain basins: implications for water resource management and aquatic habitat in the northern rocky mountains,386,impacts,40000 km2 - PNW,na/not appropriate for point data,freshwater: streams and rivers,NA,NA,NA,yes,yes,no,"0501, 0502, 0601, 0602, 0603","hydrology, geology/pedology","temperature, precipitation, climate oscillations, streamflow/stream forecasting, river geomorphology and restoration, water quality, soils, management"
sh,enhanced sediment delivery in a changing climate in semi-arid mountain basins: implications for water resource management and aquatic habitat in the northern rocky mountains,386,impacts,40000 km2 - PNW,na/not appropriate for point data,freshwater: streams and rivers,NA,NA,NA,yes,yes,no,"0501, 0502, 0601, 0602, 0603","hydrology, geology/pedology","temperature, precipitation, climate oscillations, streamflow/stream forecasting, river geomorphology and restoration, water quality, soils, management"
am,simulations show decreasing carbon stocks and potential for carbon emissions in rocky mountain forests over the next century,387,impacts,40000 km2 - PNW,this study includes a case study map with more than 5 study locations over large extent,forest: temperate,NA,NA,NA,yes,yes,no,"0101, 0102, 0401, 0101, 0102, 0103, 0603, 0601, 0602, 0502, 0501, 0401, 0402",ecology,"temperature, precipitation, snow, timber production/silviculture, forest ecology, carbon cycle, carbon cycle"
cc,simulations show decreasing carbon stocks and potential for carbon emissions in rocky mountain forests over the next century,387,impacts,40000 km2 - PNW,this study includes a case study map with more than 5 study locations over large extent,forest: temperate,thought about checking mitigation instead of impacts,NA,NA,yes,yes,no,"0101, 0102, 0401, 0101, 0102, 0103, 0603, 0601, 0602, 0502, 0501, 0401, 0402",ecology,"temperature, precipitation, snow, timber production/silviculture, forest ecology, carbon cycle, carbon cycle"
am,deep groundwater mediates streamflow response to climate warming in the oregon cascades,389,impacts,1500 - 25000 km2,"hj andrews experimental forest; 44.2122196,-122.2574345; mckenzie river at clear lake; 44.3688333,-122.135513","forest: temperate, freshwater: streams and rivers",NA,NA,NA,yes,no,no,0900,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, groundwater, water quantity"
pe,deep groundwater mediates streamflow response to climate warming in the oregon cascades,389,impacts,1500 - 25000 km2,"hj andrews experimental forest; 44.2122196,-122.2574345; mckenzie river at clear lake; 44.3688333,-122.135513","forest: temperate, freshwater: streams and rivers",NA,NA,NA,yes,no,no,0900,hydrology,"temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, groundwater, water quantity"
am,spatial patterns of forest characteristics in the western united states derived from inventories,390,impacts,western us,na/not appropriate for point data,forest: temperate,NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","meteorology and climatology, forestry","temperature, precipitation, timber production/silviculture, forest ecology, carbon cycle"
mf,spatial patterns of forest characteristics in the western united states derived from inventories,390,impacts,western us,na/not appropriate for point data,forest: temperate,NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","meteorology and climatology, forestry","temperature, precipitation, timber production/silviculture, forest ecology, carbon cycle"
am,"significance of trends toward earlier snowmelt runoff, columbia and missouri basin headwaters, western united states",391,impacts,40000 km2 - PNW,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0603, 0601, 0602, 0502, 0501, 0401, 0402, 0101, 0102, 0103, 0603, 0601, 0602, 0502, 0501, 0401, 0402","meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, climate oscillations"
sh,"significance of trends toward earlier snowmelt runoff, columbia and missouri basin headwaters, western united states",391,impacts,40000 km2 - PNW,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0603, 0601, 0602, 0502, 0501, 0401, 0402","meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, climate oscillations"
am,the structure of genetic diversity in engelmann spruce and a comparison with blue spruce,392,impacts,western us,na/not appropriate for point data,forest: temperate,NA,NA,NA,no,no,yes,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","biology, ecology","temperature, precipitation, species range shifts, forest ecology"
cc,the structure of genetic diversity in engelmann spruce and a comparison with blue spruce,392,impacts,western us,na/not appropriate for point data,forest: temperate,engelman spruce habitat,NA,NA,no,no,yes,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","biology, ecology","temperature, precipitation, species range shifts, forest ecology"
sh,development of scale-free climate data for western canada for use in resource management,393,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,yes,no,no,"kooteney, okanagan, columbia",meteorology and climatology,"temperature, precipitation, snow, climate oscillations, streamflow/stream forecasting, water quality, water quantity, aquatic habitat, species range shifts"
am,development of scale-free climate data for western canada for use in resource management,393,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,yes,no,no,"kooteney, okanagan, columbia",meteorology and climatology,"temperature, precipitation, snow, climate oscillations, streamflow/stream forecasting, water quality, water quantity, aquatic habitat, species range shifts"
pe,downscaling simulations of future global climate with application to hydrologic modelling,394,impacts,1500 - 25000 km2,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,yes,no,no,0300,"meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quantity, mathematics"
am,downscaling simulations of future global climate with application to hydrologic modelling,394,impacts,1500 - 25000 km2,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,yes,no,no,0300,"meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, groundwater, water quantity, mathematics"
mf,genetic consequences of forest population dynamics influenced by historic climatic variability in the western usa,395,impacts,western us,na/not appropriate for point data,forest: temperate,NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002",ecology,"temperature, precipitation, snow, climate oscillations, species invasion, species range shifts, forest ecology, management"
pe,genetic consequences of forest population dynamics influenced by historic climatic variability in the western usa,395,impacts,western us,na/not appropriate for point data,forest: temperate,NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002",ecology,"temperature, precipitation, snow, climate oscillations, species invasion, species range shifts, forest ecology, management"
am,mid-century ensemble regional climate change scenarios for the western united states,396,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity"
mf,mid-century ensemble regional climate change scenarios for the western united states,396,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity"
am,climate change and the outbreak ranges of two north american bark beetles,397,impacts,western us,na/not appropriate for point data,forest: temperate,NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002",ecology,"temperature, precipitation, pests and disease, species range shifts, entomology, forest ecology"
mf,climate change and the outbreak ranges of two north american bark beetles,397,impacts,western us,na/not appropriate for point data,forest: temperate,NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002",ecology,"temperature, precipitation, pests and disease, species range shifts, entomology, forest ecology"
am,"assessment of climate change and freshwater ecosystems of the rocky mountains, usa and canada",398,impacts,western us,na/not appropriate for point data,"freshwater: ponds and lakes, freshwater: wetlands, freshwater: streams and rivers",NA,NA,could be a good summary of projected climate change impacts on freshwater.,no,no,no,"kooteney, okanagan, columbia, 0101, 0102, 0103, 0604, 0602, 0401, 0402",hydrology,"temperature, precipitation, snow, glaciers, climate oscillations, streamflow/stream forecasting, lacustrine systems, river geomorphology and restoration, groundwater, water quality, water quantity, salmon/anadromous fish, non-anadromous fish, aquatic habitat"
cc,"assessment of climate change and freshwater ecosystems of the rocky mountains, usa and canada",398,impacts,western us,na/not appropriate for point data,"freshwater: ponds and lakes, freshwater: wetlands, freshwater: streams and rivers",review paper; climate and hydrology in the rocky mountains.,NA,NA,no,no,no,"kooteney, okanagan, columbia, 0101, 0102, 0103, 0604, 0602, 0401, 0402",hydrology,"temperature, precipitation, snow, glaciers, climate oscillations, streamflow/stream forecasting, lacustrine systems, river geomorphology and restoration, groundwater, water quality, water quantity, salmon/anadromous fish, non-anadromous fish, aquatic habitat"
am,snowmelt rate dictates streamflow,399,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0703, 0800, 0900","meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscillations, streamflow/stream forecasting"
sh,snowmelt rate dictates streamflow,399,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0703, 0800, 0900","meteorology and climatology, hydrology","temperature, precipitation, snow, climate oscillations, streamflow/stream forecasting"
am,scientific knowledge and knowledge needs in climate adaptation policy,400,adaptation,40000 km2 - PNW,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,"this paper is very likely one to include in introduction/discussion - they do raise the question of what knowledge production paradigms best allow for adaptation - i don't know that our methods really take us there, but it would be worth thinking about whether we're able to say anything about that.",NA,no,no,no,"0102, 0103, 0200, 0300, 0601, 0701, 0800",policy or management,"attitudes and beliefs, policy, management"
pe,scientific knowledge and knowledge needs in climate adaptation policy,400,adaptation,40000 km2 - PNW,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,"""mountain ecosystems around the world are recognized to be among the most vulnerable to the impacts of climate change. the need to develop sound adaptation strategies in these areas is growing. knowledge from the natural sciences has an important role to play in the development of adaptation strategies. however, the extent of and gaps in such knowledge have not been systematically investigated for mountain areas. ""  "" finally, in recognition of the trans- and interdisciplinary nature of climate change adaptation, we raise the question of which knowledge production paradigms are best able to deliver sustainable adaptations to growing environmental stressors in mountain regions.""",no,no,no,"0102, 0103, 0200, 0300, 0601, 0701, 0800",policy or management,"attitudes and beliefs, policy, management"
sh,scientific knowledge and knowledge needs in climate adaptation policy,400,adaptation,40000 km2 - PNW,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,no,no,"0102, 0103, 0200, 0300, 0601, 0701, 0800",policy or management,"attitudes and beliefs, policy, management"
am,recent bark beetle outbreaks have little impact on streamflow in the western united states,401,impacts,western us,"this study includes a case study map with more than 5 study locations over large extent, na/not appropriate for point data",forest: temperate,NA,NA,NA,no,no,no,"0102, 0103, 0200, 0300, 0401, 0602, 0603, 0900","hydrology, ecology","temperature, precipitation, streamflow/stream forecasting, water quantity, pests and disease, forest ecology"
mf,recent bark beetle outbreaks have little impact on streamflow in the western united states,401,impacts,western us,"this study includes a case study map with more than 5 study locations over large extent, na/not appropriate for point data",forest: temperate,NA,NA,NA,no,no,no,"0102, 0103, 0200, 0300, 0401, 0602, 0603, 0900","hydrology, ecology","temperature, precipitation, streamflow/stream forecasting, water quantity, pests and disease, forest ecology"
am,"longitudinal changes in stream invertebrate assemblages of grand teton national park, wyoming",402,impacts,1500 - 25000 km2,"grand teton national park; 43.7761852,-110.8281018",freshwater: streams and rivers,NA,NA,NA,no,no,yes,0401,ecology,"streamflow/stream forecasting, river geomorphology and restoration, aquatic habitat, water quality, entomology, forest ecology"
mf,"longitudinal changes in stream invertebrate assemblages of grand teton national park, wyoming",402,impacts,1500 - 25000 km2,"grand teton national park; 43.7761852,-110.8281018",freshwater: streams and rivers,NA,NA,NA,no,no,yes,0401,ecology,"streamflow/stream forecasting, river geomorphology and restoration, aquatic habitat, water quality, entomology, forest ecology"
cc,"low genetic diversity, restricted dispersal, and elevation-specific patterns of population decline in american pikas in an atypical environment",403,impacts,1 - 100 km2,"columbia river gorge; 45.725890, -121.572201","grassland: temperate, forest: temperate",NA,NA,NA,no,no,yes,0800,biology,"temperature, precipitation, terrestrial wildlife, species range shifts"
am,"low genetic diversity, restricted dispersal, and elevation-specific patterns of population decline in american pikas in an atypical environment",403,impacts,1 - 100 km2,"columbia river gorge; 45.725890, -121.572201","grassland: temperate, forest: temperate",NA,NA,NA,no,no,yes,0800,biology,"temperature, precipitation, terrestrial wildlife, species range shifts"
sh,climate change vulnerabilities and adaptation options for forest vegetation management in the northwestern usa,404,adaptation,pacific northwest,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0502, 0601","policy or management, ecology","temperature, precipitation, pests and disease, species range shifts, wildfire, forest ecology, policy, management"
am,climate change vulnerabilities and adaptation options for forest vegetation management in the northwestern usa,404,adaptation,pacific northwest,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0502, 0601","policy or management, ecology","temperature, precipitation, pests and disease, species range shifts, wildfire, forest ecology, policy, management"
am,"complex challenges of maintaining whitebark pine in greater yellowstone under climate change: a call for innovative research, management, and policy approaches",405,adaptation,25000 - 40000 km2,na/not appropriate for point data,forest: temperate,NA,NA,NA,no,no,no,"0401, 0402","forestry, policy or management","temperature, snow, water quantity, species invasion, pests and disease, species range shifts, wildfire, forest ecology, soils, policy, management"
pe,"complex challenges of maintaining whitebark pine in greater yellowstone under climate change: a call for innovative research, management, and policy approaches",405,adaptation,25000 - 40000 km2,na/not appropriate for point data,forest: temperate,NA,NA,NA,no,no,no,"0401, 0402","forestry, policy or management","temperature, snow, water quantity, species invasion, pests and disease, species range shifts, wildfire, forest ecology, soils, policy, management"
mf,assessing differences in snowmelt-dependent hydrologic projections using cmip3 and cmip5 climate forcing data for the western united states,406,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils"
am,assessing differences in snowmelt-dependent hydrologic projections using cmip3 and cmip5 climate forcing data for the western united states,406,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","meteorology and climatology, hydrology","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, soils"
mf,"get real: climate change and all that ""it' entails",407,impacts,pacific northwest,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),not quite sure about location - given that it is a review of us agriculture and bc bark beetle outbreak. kind of a weird paper to classify,NA,NA,no,no,no,"kooteney, okanagan, columbia",anthropology/sociology,"pests and disease, agriculture, attitudes and beliefs, management"
am,"get real: climate change and all that ""it' entails",407,impacts,pacific northwest,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),not really spatially explicit - just about bark beetles in bc (and other topics),NA,NA,no,no,no,"kooteney, okanagan, columbia",anthropology/sociology,"pests and disease, agriculture, attitudes and beliefs, management"
am,projected major fire and vegetation changes in the pacific northwest of the conterminous united states under selected cmip5 climate futures,408,impacts,pacific northwest,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002",ecology,"temperature, precipitation, terrestrial wildlife, wildfire, mathematics, remote sensing, forest ecology, management"
cc,projected major fire and vegetation changes in the pacific northwest of the conterminous united states under selected cmip5 climate futures,408,impacts,pacific northwest,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002",ecology,"temperature, precipitation, terrestrial wildlife, wildfire, mathematics, remote sensing, forest ecology, management"
