id,authors_long,author
515,"leibowitz, s. g.",s. leibowitz
515,"morefield, p. e.",p. morefield
515,"sproles, e. a.",e. sproles
515,"weaver, c. p.",c. weaver
515,"wigington, p. j., jr.",p. wigington
518,"loukas, a.",a. loukas
518,"vasiliades, l.",l. vasiliades
519,"ayres, matthew p.",m. ayres
519,"band, lawrence e.",l. band
519,"hicke, jeffrey a.",j. hicke
519,"kerns, becky k.",b. kerns
519,"littell, jeremy s.",j. littell
519,"luce, charles h.",c. luce
519,"mckenzie, don",d. mckenzie
519,"raymond, crystal l.",c. raymond
519,"weed, aaron s.",a. weed
521,"adam, j. c.",j. adam
521,"choate, j.",j. choate
521,"chung, s. h.",s. chung
521,"guenther, a.",a. guenther
521,"harrison, j.",j. harrison
521,"jiang, x.",x. jiang
521,"liu, m.",m. liu
521,"miller, c.",c. miller
521,"nergui, t.",t. nergui
521,"rajagopalan, k.",k. rajagopalan
521,"reyes, j.",j. reyes
521,"salathe, e. p.",e. salathe
521,"stoeckle, c. o.",c. stoeckle
521,"tague, c.",c. tague
527,"albrecht, nathan m.",n. albrecht
527,"cushman, samuel a.",s. cushman
527,"olson, lucretia e.",l. olson
527,"sauder, joel d.",j. sauder
527,"schwartz, michael k.",m. schwartz
527,"vinkey, ray s.",r. vinkey
534,"kurz, werner a.",w. kurz
534,"li, qinglin",q. li
534,"pellatt, marlow g.",m. pellatt
534,"sharma, tara",t. sharma
534,"stinson, graham",g. stinson
536,"johnson, edward a.",e. johnson
536,"mori, akira s.",a. mori
537,"abatzoglou, j. t.",j. abatzoglou
537,"holden, z. a.",z. holden
537,"luce, c. h.",c. luce
546,"neupane, sagar",s. neupane
546,"yager, elowyn m.",e. yager
550,"albright, whitney l.",w. albright
550,"peterson, david l.",d. peterson
552,"betancourt, julio l.",j. betancourt
552,"mccabe, gregory j.",g. mccabe
552,"pederson, gregory t.",g. pederson
552,"schwartz, mark d.",m. schwartz
553,"bian, xindi",x. bian
553,"heilman, warren e.",w. heilman
553,"luo, lifeng",l. luo
553,"tang, ying",y. tang
553,"zhong, shiyuan",s. zhong
563,"highland, steven a.",s. highland
563,"jones, julia a.",j. jones
563,"miller, jeffrey c.",j. miller
568,"beechie, t.",t. beechie
568,"greene, j.",j. greene
568,"imaki, h.",h. imaki
568,"kiffney, p.",p. kiffney
568,"kimball, j.",j. kimball
568,"mantua, n.",n. mantua
568,"pess, g.",g. pess
568,"roni, p.",p. roni
568,"stanford, j.",j. stanford
568,"wade, a.",a. wade
568,"wu, h.",h. wu
571,"kaplan, jed o.",j. kaplan
571,"logan, jennifer a.",j. logan
571,"mickley, loretta j.",l. mickley
571,"yue, xu",x. yue
575,"gleason, kelly e.",k. gleason
575,"nolin, anne w.",a. nolin
575,"roth, travis r.",t. roth
577,"mckean, jim",j. mckean
577,"tonina, daniele",d. tonina
580,"betancourt, julio l.",j. betancourt
580,"pierce, jennifer l.",j. pierce
580,"weppner, kerrie n.",k. weppner
586,"anderson, james j.",j. anderson
586,"beer, w. nicholas",w. beer
593,"baxter, c. v.",c. baxter
593,"crosby, b. t.",b. crosby
593,"davis, j. m.",j. davis
593,"pierce, j. l.",j. pierce
593,"rosi-marshall, e. j.",e. rosi-marshall
596,"bond, nicholas a.",n. bond
596,"bumbaco, karin a.",k. bumbaco
596,"dello, kathie d.",k. dello
602,"arismendi, ivan",i. arismendi
602,"dunham, jason b.",j. dunham
602,"haggerty, roy",r. haggerty
602,"johnson, sherri l.",s. johnson
602,"safeeq, mohammad",m. safeeq
603,"ettinger, ailene k.",a. ettinger
603,"ford, kevin r.",k. ford
603,"lambers, janneke hille ris",j. lambers
603,"lundquist, jessica d.",j. lundquist
603,"raleigh, mark s.",m. raleigh
609,"cayan, daniel r.",d. cayan
609,"pierce, david w.",d. pierce
611,"al-chokhachy, robert",r. al-chokhachy
